City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Muniz Freire,BR,2020-08-21 03:06:53,-20.46,-41.41,63.32,94,90,4.45
1,Tuktoyaktuk,CA,2020-08-21 03:05:48,69.45,-133.04,55.4,76,90,9.17
2,Lebu,CL,2020-08-21 03:05:55,-37.62,-73.65,49.19,84,0,15.57
3,Port Alfred,ZA,2020-08-21 03:05:46,-33.59,26.89,56.86,79,79,10.07
4,Rikitea,PF,2020-08-21 03:05:43,-23.12,-134.97,66.18,78,100,25.34
5,Saint Anthony,US,2020-08-21 03:03:09,45.02,-93.22,77.0,69,1,5.82
6,Roebourne,AU,2020-08-21 03:06:53,-20.78,117.13,82.98,18,0,14.0
7,Hobart,AU,2020-08-21 03:02:47,-42.88,147.33,52.0,48,75,8.05
8,Dapdap,PH,2020-08-21 03:06:53,12.06,125.49,85.01,70,57,5.37
9,Oriximina,BR,2020-08-21 03:06:53,-1.77,-55.87,82.49,49,61,3.96
10,Thompson,CA,2020-08-21 03:06:33,55.74,-97.86,66.2,55,20,4.7
11,Busselton,AU,2020-08-21 03:05:44,-33.65,115.33,61.0,53,100,4.59
12,Bage,BR,2020-08-21 03:06:53,-31.33,-54.11,35.6,74,4,5.82
13,Nusaybin,TR,2020-08-21 03:06:54,37.08,41.22,68.0,32,0,6.93
14,Mataura,NZ,2020-08-21 03:05:47,-46.19,168.86,50.0,94,100,5.99
15,Juegang,CN,2020-08-21 03:06:54,32.32,121.19,85.93,74,2,10.25
16,Cape Town,ZA,2020-08-21 03:05:47,-33.93,18.42,55.99,100,0,8.05
17,Ushuaia,AR,2020-08-21 03:05:44,-54.8,-68.3,41.0,80,40,10.29
18,Vaini,TO,2020-08-21 03:06:01,-21.2,-175.2,80.6,83,75,4.7
19,Kavieng,PG,2020-08-21 03:06:17,-2.57,150.8,84.18,72,24,8.25
20,Cherskiy,RU,2020-08-21 03:06:32,68.75,161.3,45.21,58,98,17.85
21,Manzhouli,CN,2020-08-21 03:06:54,49.6,117.43,69.76,48,53,13.02
22,Nouadhibou,MR,2020-08-21 03:06:47,20.93,-17.03,71.6,83,0,2.24
23,Pisco,PE,2020-08-21 03:06:13,-13.7,-76.22,60.8,82,75,2.48
24,Qaanaaq,GL,2020-08-21 03:05:47,77.48,-69.36,42.73,81,100,5.5
25,Oranjemund,NA,2020-08-21 03:06:54,-28.55,16.43,55.42,39,0,5.46
26,Meulaboh,ID,2020-08-21 03:06:54,4.14,96.13,82.6,77,93,4.43
27,Alekseyevka,RU,2020-08-21 03:06:54,50.63,38.69,58.37,69,50,10.18
28,Avarua,CK,2020-08-21 03:05:55,-21.21,-159.78,77.0,83,0,20.8
29,Bredasdorp,ZA,2020-08-21 03:05:48,-34.53,20.04,48.0,97,68,1.01
30,Itarema,BR,2020-08-21 03:06:40,-2.92,-39.92,76.44,85,23,12.5
31,Abomey-Calavi,BJ,2020-08-21 03:06:55,6.45,2.36,75.29,86,100,13.0
32,Nosy Varika,MG,2020-08-21 03:06:55,-20.58,48.53,64.35,87,64,3.04
33,Bloemfontein,ZA,2020-08-21 03:06:55,-29.12,26.21,28.4,58,0,4.7
34,Kottagudem,IN,2020-08-21 03:06:55,17.55,80.63,75.29,93,100,8.32
35,Sawtell,AU,2020-08-21 03:06:55,-30.38,153.1,64.99,42,90,9.17
36,Punta Arenas,CL,2020-08-21 03:05:43,-53.15,-70.92,41.0,80,40,8.05
37,Maldonado,UY,2020-08-21 03:06:55,-34.67,-54.92,39.2,86,0,6.93
38,Zhanaozen,KZ,2020-08-21 03:06:55,43.3,52.8,76.17,28,0,10.85
39,Longyearbyen,SJ,2020-08-21 03:06:01,78.22,15.64,41.0,80,75,11.41
40,Havoysund,NO,2020-08-21 03:06:56,71.0,24.66,42.8,93,40,3.36
41,Nikolskoye,RU,2020-08-21 03:05:51,59.7,30.79,53.01,87,0,2.24
42,Bandarbeyla,SO,2020-08-21 03:06:10,9.49,50.81,76.46,75,0,26.6
43,Vilcun,CL,2020-08-21 03:06:56,-38.65,-72.23,46.4,87,0,5.82
44,Narsaq,GL,2020-08-21 03:03:04,60.92,-46.05,46.4,70,0,5.82
45,Vao,NC,2020-08-21 03:06:39,-22.67,167.48,71.49,77,23,10.96
46,Djambala,CG,2020-08-21 03:06:56,-2.54,14.75,68.25,85,100,3.78
47,Albany,US,2020-08-21 03:05:02,42.6,-73.97,66.99,70,0,3.24
48,Victoria,HK,2020-08-21 03:02:13,22.29,114.16,88.0,74,30,5.01
49,Ancud,CL,2020-08-21 03:06:03,-41.87,-73.82,46.99,100,90,8.05
50,Dikson,RU,2020-08-21 03:05:55,73.51,80.55,45.07,75,0,17.98
51,Aksarka,RU,2020-08-21 03:06:56,66.56,67.8,56.26,87,100,17.25
52,Atuona,PF,2020-08-21 03:05:45,-9.8,-139.03,78.71,77,74,19.24
53,Pevek,RU,2020-08-21 03:06:10,69.7,170.31,37.81,84,100,10.13
54,Buckeye,US,2020-08-21 03:06:57,33.37,-112.58,105.8,27,75,14.99
55,Inhambane,MZ,2020-08-21 03:06:46,-23.86,35.38,64.56,78,62,5.97
56,Providencia,MX,2020-08-21 03:06:57,28.72,-111.58,87.01,74,86,14.0
57,Dingle,PH,2020-08-21 03:06:07,11.0,122.67,86.27,74,100,7.45
58,Bonavista,CA,2020-08-21 03:06:57,48.65,-53.11,60.01,80,5,10.0
59,Arman,RU,2020-08-21 03:06:57,59.7,150.17,56.34,53,97,18.52
60,Saskylakh,RU,2020-08-21 03:05:44,71.92,114.08,44.24,61,100,5.57
61,Oliva,ES,2020-08-21 03:06:57,38.92,-0.12,79.0,8,4,7.58
62,Jamestown,US,2020-08-21 03:05:43,42.1,-79.24,62.6,77,1,3.29
63,Lorengau,PG,2020-08-21 03:05:51,-2.02,147.27,86.04,67,10,10.83
64,Carnarvon,AU,2020-08-21 03:06:25,-24.87,113.63,73.4,40,97,6.93
65,Puerto Ayora,EC,2020-08-21 03:05:45,-0.74,-90.35,66.0,87,80,5.99
66,Norman Wells,CA,2020-08-21 03:05:55,65.28,-126.83,64.4,48,75,12.75
67,Touros,BR,2020-08-21 03:06:57,-5.2,-35.46,75.2,94,40,6.93
68,Lompoc,US,2020-08-21 03:06:16,34.64,-120.46,64.4,68,90,11.41
69,Dukat,RU,2020-08-21 03:06:58,62.55,155.55,42.6,91,100,11.54
70,Asheboro,US,2020-08-21 03:06:58,35.71,-79.81,73.4,88,90,6.93
71,Upernavik,GL,2020-08-21 03:06:06,72.79,-56.15,44.85,72,100,2.19
72,Urusha,RU,2020-08-21 03:06:58,54.05,122.9,72.0,51,99,5.68
73,Nerchinskiy Zavod,RU,2020-08-21 03:06:58,51.31,119.61,64.02,63,88,12.64
74,Hokitika,NZ,2020-08-21 03:06:58,-42.72,170.97,55.38,83,99,14.72
75,Namatanai,PG,2020-08-21 03:06:23,-3.67,152.43,83.68,74,28,8.88
76,Margate,GB,2020-08-21 03:06:58,51.38,1.39,70.0,79,52,4.0
77,Norsup,VU,2020-08-21 03:06:58,-16.07,167.38,82.4,83,40,3.36
78,Barrow,US,2020-08-21 03:04:05,71.29,-156.79,44.6,93,90,9.17
79,Barabai,ID,2020-08-21 03:06:58,-2.58,115.38,92.82,49,71,0.34
80,Nandyal,IN,2020-08-21 03:06:58,15.48,78.48,79.2,82,100,9.53
81,Vanimo,PG,2020-08-21 03:06:59,-2.67,141.3,85.82,67,83,8.93
82,Poum,NC,2020-08-21 03:06:59,-20.23,164.02,72.41,69,0,7.4
83,Bluff,NZ,2020-08-21 03:05:48,-46.6,168.33,50.0,94,100,5.99
